Critics_Score,Audience_Score,Title,Character,Box_Revenue,Year
0.29,0.85,The War With Grandpa,Jerry  ,$21.3M,2020
0.25,0.52,Wild Mountain Thyme,Tony Reilly  ,$194.9K,2020
0.20,,The Jesus Rolls,Warden  ,,2019
0.32,0.60,Irreplaceable You,Unknown  ,,2018
0.17,0.25,Father Figures,Dr. Walter Tinkler  ,$16.8M,2017
0.94,0.86,The Jungle Book,King Louie ,$364.0M,2016
0.14,0.41,Nine Lives,Felix Perkins  ,$19.6M,2016
0.81,0.82,Eddie the Eagle,Warren Sharp  ,$15.8M,2016
0.10,0.21,Joe Dirt 2: Beautiful Loser,Clem  ,,2015
0.53,0.26,One More Time,Paul  ,,2015
0.83,0.47,The Family Fang,Caleb Fang  ,$240.1K,2015
,,Turks & Caicos,Curtis Pelissier  ,,2014
0.51,0.62,Jersey Boys,Gyp DeCarlo  ,$47.0M,2014
0.56,0.31,Peter Pan Live!,Unknown  ,,2014
0.50,0.38,The Power of Few,Doke  ,$22.1K,2013
0.76,0.71,A Late Quartet,Peter Mitchell  ,$1.6M,2012
0.36,0.46,Stand Up Guys,Doc  ,$3.3M,2012
0.83,0.71,Seven Psychopaths,Hans  ,$15.0M,2012
0.62,0.67,Kill the Irishman,Shondor Birns  ,$1.2M,2011
0.70,0.41,Dark Horse,Jackie  ,$1.0M,2011
,0.38,Life's a Beach,Roy Callahan  ,,2011
,0.37,The Maiden Heist,Roger  ,,2009
,0.49,Five Dollars a Day,Nat Parker  ,,2008
0.21,0.33,Balls of Fury,Feng  ,$32.9M,2007
0.91,0.84,Hairspray,Wilbur Turnblad  ,$118.8M,2007
0.34,0.66,Click,Morty  ,$137.3M,2006
0.21,0.45,Man of the Year,Jack Menken  ,$37.4M,2006
0.29,0.33,Fade to Black,Brewster  ,,2006
,,Encounters of the Fourth Kind,Unknown  ,,2006
0.76,0.70,Wedding Crashers,Treasury Secretary William Cleary  ,$209.2M,2005
0.52,0.56,Romance & Cigarettes,Cousin Bo  ,$540.1K,2005
0.18,0.56,Domino,Mark Heiss  ,$10.1M,2005
