artist,song,year
Elvis Presley,A Little Less Conversation,1968
Creedence Clearwater Revival,Born on the Bayou,1969
Led Zeppelin,Moby Dick,1969
The Rolling Stones,Honky Tonk Women,1969
Credence Clearwater Revival,I Heard It Through the Grapevine,1970
James Gang,Funk #49,1970
Mountain,Mississippi Queen,1970
Santana,Oye Como Va,1971
Black Sabbath,Sabbra Cadabra,1973
Dolly Parton,Jolene,1973
Grand Funk Railroad,We're an American Band,1973
Deep Purple,You Fool No One,1974
Eric Burdon and War,Low Rider,1975
Nazareth,Hair of the Dog,1975
Queen,Bohemian Rhapsody,1975
Kiss,Calling Dr. Love,1976
Wild Cherry,Play That Funky Music,1976
Marvin Gaye,Got to Give It Up,1977
Pink Floyd,Pigs (Three Different Ones),1977
Rush,Xanadu,1977
Rush,The Trees,1978
"Lipps, Inc",Funky Town,1979
Van Halen,Dance the Night Away,1979
Blondie,The Tide is High,1980
Van Halen,Dancing in the Street,1982
Twisted Sister,We're Not Gonna Take It,1984
U2,The Unforgettable Fire,1984
Dead or Alive ,You Spin me Round (Like a Record),1985
Guns n Roses,Night Train,1987
Iron Maiden,Can I Play with Madness,1988
Skid Row,Monkey Business,1991
Pantera,Drag the Waters,1996
Cake,Short Skirt/Long Jacket,2001
Missy Elliot,Work It,2002
Queens of the Stone Age,Little Sister,2004
Red Hot Chili Peppers,Hump de Bump,2006
Clutch,D.C. Sound Attack,2013
