rank,artist,song,year
500,Kanye West,Stronger',2007
499,The Supremes,Baby Love',1964
498,Townes Van Zandt,Pancho and Lefty',1972
497,Lizzo,Truth Hurts',2017
496,Harry Nilsson,Without You',1971
495,Carly Simon,You're So Vain',1972
494,Cyndi Lauper,Time After Time',1983
493,The Pixies,Where Is My Mind?',1988
492,Miles Davis,So What',1959
491,Guns N' Roses,Welcome to the Jungle',1987
490,Lil Nas X,Old Town Road',2019
489,The Breeders,Cannonball',1993
488,The Weeknd,House of Balloons',2011
487,Solange,Cranes in the Sky',2016
486,Lil Wayne,A Milli',2009
485,Azealia Banks,212',2011
484,Weezer,Buddy Holly',1994
483,The Four Tops,I Can't Help Myself (Sugar Pie Honey Bunch)',1965
482,Lady Gaga,Bad Romance',2009
481,Robert Johnson,Cross Road Blues',1937
480,Biz Markie,Just a Friend',1989
479,Santana,Oye Como Va',1970
478,Juvenile feat. Lil Wayne and Mannie Fresh,Back That Azz Up',1998
477,The Go-Gos,Our Lips Are Sealed',1981
476,Kris Kristofferson,Sunday Mornin' Comin' Down',1970
475,Janet Jackson,Rhythm Nation',1989
474,Curtis Mayfield,Move On Up',1970
473,Tammy Wynette,Stand by Your Man',1968
472,Peter Gabriel,Solsbury Hill',1977
471,The Animals,The House of the Rising Sun',1964
470,Gladys Knight and the Pips,Midnight Train to Georgia',1973
469,Dixie Chicks,Goodbye Earl',2000
468,Mazzy Star,Fade Into You',1993
467,Nirvana,Come as You Are',1991
466,Luther Vandross,Never Too Much',1981
465,Daft Punk feat. Pharrell Williams,Get Lucky',2013
464,Joni Mitchell,Help Me',1974
463,John Lee Hooker,Boom Boom',1962
462,Van Morrison,Into the Mystic',1970
461,Roy Orbison,Crying',1962
460,Steel Pulse,Ku Klux Klan',1978
459,Sade,No Ordinary Love',1992
458,Beck,Loser',1993
457,Bon Jovi,Livin' on a Prayer',1986
456,Lana Del Rey,Summertime Sadness',2012
455,Jefferson Airplane,White Rabbit',1967
454,Sister Nancy,Bam Bam',1982
453,Missy Elliot,The Rain (Supa Dupa Fly)',1997
452,Toto,Africa',1982
451,Migos feat. Lil Uzi Vert,Bad and Boujee',2016
450,Neil Young,Powderfinger',1979
449,Blue Oyster Cult,(Don’t Fear) The Reaper',1976
448,Erykah Badu,Tyrone',1997
447,The Beatles,Help!',1965
446,Bruce Springsteen,Rosalita (Come Out Tonight)',1973
445,T. Rex,Cosmic Dancer',1971
444,50 Cent,In Da Club',2003
443,Fall Out Boy,"Sugar, We’re Goin Down'",2005
442,Motörhead,Ace of Spades',1980
441,Miranda Lambert,The House That Built Me',2010
440,Alicia Keys,If I Ain't Got You',2003
439,Celia Cruz,La Vida Es un Carnaval',1998
438,Megan Thee Stallion feat. Beyoncé,Savage (Remix)',2020
437,Lucinda Williams,Passionate Kisses',1988
436,Carly Rae Jepsen,Call Me Maybe',2012
435,Rush,Limelight',1981
434,Ramones,Sheena Is a Punk Rocker',1977
433,Pet Shop Boys,West End Girls',1984
432,Eddie Cochran,Summertime Blues',1958
431,Prince,Adore',1987
430,Pete Rock and CL Smooth,They Reminisce Over You',1992
429,Queen and David Bowie,Under Pressure',1981
428,Harry Styles,Sign of the Times',2017
427,Sugar Hill Gang,Rapper's Delight',1979
426,Nicki Minaj,Super Bass',2010
425,Muddy Waters,Mannish Boy',1955
424,Blackstreet feat. Dr. Dre and Queen Pen,No Diggity',1996
423,Fiona Apple,Criminal',1996
422,"Craig Mack feat. Notorious B.I.G., LLCoolJ, Busta Rhymes, and Rampage",Flava in Ya Ear (Remix)',1994
421,The Smiths,How Soon Is Now?',1984
420,The Mamas and the Papas,California Dreamin' ',1965
419,Mariah Carey,Fantasy',1995
418,Booker T. and the MGs,Green Onions',1962
417,Mark Ronson feat. Bruno Mars,Uptown Funk',2015
416,Pearl Jam,Alive',1991
415,Depeche Mode,Enjoy the Silence',1990
414,Blondie,Dreaming',1979
413,Them,Gloria',1965
412,Neneh Cherry,Buffalo Stance',1988
411,Wilco,Heavy Metal Drummer',2002
410,Allman Brothers Band,Whipping Post',1969
409,Foo Fighters,Everlong',1997
